product_id,product_name,userID,userName,reviewTitle,positvity,publicScore,category
739,"Reffair AX30 [MAX] Portable Air Purifier for Car, Home & Office | Smart Ionizer Function | H13 Grade True HEPA Filter [Internationally Tested] Aromabuds Fragrance Option - Black",662,Venkatesh S.,Worth buying for cars which doesn't have inbuilt filter,0.1367,0.5384110118208103,Car&Motorbike
679,"ZEBRONICS Zeb-Warrior II 10 watts 2.0 Multimedia Speaker with RGB Lights, USB Powered, AUX Input, Volume Control Pod for PC, Laptops, Desktop",971,Puneet,Worth the money,0.2714,0.7756250195713486,Computers&Accessories
1064,"Portronics Konnect Spydr 31 3-in-1 Multi Functional Cable with 3.0A Output, Tangle Resistant, 1.2M Length, Nylon Braided(Zebra)",2329,Deepak Gogia,Great,0.6991,0.6967392805905319,Computers&Accessories
758,"Seagate One Touch 2TB External HDD with Password Protection – Black, for Windows and Mac, with 3 yr Data Recovery Services, and 4 Months Adobe CC Photography (STKY2000400)",8367,Mohsin chouhan,Good product,0.892,0.6846413029327694,Computers&Accessories
90,"AmazonBasics USB 2.0 Extension Cable for Personal Computer, Printer, 2-Pack - A-Male to A-Female - 3.3 Feet (1 Meter, Black)",4871,Pravin Kumar,Nice,0.5795,0.6841459843949784,Computers&Accessories
1139,"Lapster usb 2.0 mantra cable, mantra mfs 100 data cable (black)",3510,ponnada suresh,Cable length is ok ,0.5699,0.6775625322011147,Computers&Accessories
171,"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black",6344,Shiva, good looking.,0.9454,0.6754797328109252,Computers&Accessories
4,SanDisk Cruzer Blade 32GB USB Flash Drive,1433,Sujoy Paul,Good product 👍,0.938,0.6749272451531063,Computers&Accessories
706,LAPSTER Spiral Charger Spiral Charger Cable Protectors for Wires Data Cable Saver Charging Cord Protective Cable Cover Set of 3 (12 Pieces),213,vasuki,Good product,0.892,0.6723051595488454,Computers&Accessories
456,Robustrion Smart Trifold Hard Back Flip Stand Case Cover for Apple iPad 10.2 Cover iPad 9th Generation Cover 2021 8th Gen 2020 7th Gen 2019 Generation Case - Black,1475,Anjali Raj,Quality is good,0.8631,0.6701360073490716,Computers&Accessories
